,attack_avg_home,defence_avg_home,defence_avg_away,attack_avg_away
Arsenal,2.210526315789474,0.8421052631578947,1.8421052631578947,1.631578947368421
Bournemouth,1.5789473684210527,1.3157894736842106,2.3684210526315788,1.368421052631579
Brighton,1.0,1.4736842105263157,1.6842105263157894,0.8421052631578947
Burnley,1.263157894736842,1.6842105263157894,1.894736842105263,1.105263157894737
Cardiff,1.105263157894737,2.0,1.631578947368421,0.6842105263157895
Chelsea,2.0526315789473686,0.631578947368421,1.4210526315789473,1.263157894736842
Crystal Palace,1.0,1.2105263157894737,1.5789473684210527,1.6842105263157894
Everton,1.5789473684210527,1.105263157894737,1.3157894736842106,1.263157894736842
Fulham,1.1578947368421053,1.894736842105263,2.3684210526315788,0.631578947368421
Huddersfield,0.5263157894736842,1.631578947368421,2.3684210526315788,0.631578947368421
Leicester,1.263157894736842,1.0526315789473684,1.4736842105263157,1.4210526315789473
Liverpool,2.8947368421052633,0.5263157894736842,0.631578947368421,1.7894736842105263
Man City,3.0,0.631578947368421,0.5789473684210527,2.0
Man United,1.736842105263158,1.3157894736842106,1.5263157894736843,1.6842105263157894
Newcastle,1.263157894736842,1.3157894736842106,1.2105263157894737,0.9473684210526315
Southampton,1.4210526315789473,1.5789473684210527,1.8421052631578947,0.9473684210526315
Tottenham,1.7894736842105263,0.8421052631578947,1.2105263157894737,1.736842105263158
Watford,1.368421052631579,1.4736842105263157,1.631578947368421,1.368421052631579
West Ham,1.6842105263157894,1.4210526315789473,1.4736842105263157,1.0526315789473684
Wolves,1.4736842105263157,1.105263157894737,1.3157894736842106,1.0
